id,status,created_by,created_on,modified_by,modified_on,order_num,territorycode,territorylevel,territoryname,territory_pinyin,territorysort,x_wgs84,y_wgs84,territoryparentid
1747,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360124,4,进贤县,JXX,0,116.240924,28.376918,184
1748,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360202,4,昌江区,CJQ,0,117.183688,29.27342,185
1749,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360203,4,珠山区,ZSQ,0,117.202336,29.301272,185
1750,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360222,4,浮梁县,FLX,0,117.215061,29.351739,185
1751,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360281,4,乐平市,LPS,0,117.129169,28.961902,185
1752,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360302,4,安源区,AYQ,0,113.87073,27.615202,186
1753,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360313,4,湘东区,XDQ,0,113.733059,27.640075,186
1754,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360321,4,莲花县,LHX,0,113.961465,27.127669,186
1755,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360322,4,上栗县,SLX,0,113.795219,27.880567,186
1756,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360323,4,芦溪县,LXX,0,114.029595,27.631145,186
1757,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360402,4,庐山区,LSQ,0,115.989212,29.671775,187
1758,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360403,4,浔阳区,XYQ,0,115.990399,29.72746,187
1759,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360421,4,九江县,JJX,0,115.911314,29.608456,187
1760,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360423,4,武宁县,WNX,0,115.100579,29.256323,187
1761,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360424,4,修水县,XSX,0,114.547356,29.025707,187
1762,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360425,4,永修县,YXX,0,115.809111,29.021824,187
1763,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360426,4,德安县,DAX,0,115.756883,29.314348,187
1764,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360427,4,星子县,XZX,0,116.044893,29.448037,187
1765,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,360428,4,都昌县,DCX,0,116.204099,29.273194,187
